Year,Country,GDP (billion US$),Government debt (% of GDP),"Industry (including construction), value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)",Military expenditure (% of GDP),GDP per capita (current US$),GDP (billion US$) Annual Change (%),GDP per capita (current US$) Annual Change (%)
2011,Germany,3824.8,79.4,26.31240879,0.924336108,62.01480452,1.206150336,47646.58204,10.281990657978213,12.347687525496532
2011,Sri Lanka,67.8,68.5257394060365,29.0731497644916,9.53315934995748,53.3645298044492,2.68531865302989,3201.0,15.699658703071663,14.321428571428573
2012,Germany,3597.9,80.7,26.57610753,0.911054928,61.79361372,1.241677479,44735.58823,-5.932336331311438,-6.1095543171516
2012,Sri Lanka,70.4,66.747235367261,30.9698538095878,7.91028886801456,54.204493062591,2.15519951243996,3351.0,3.8348082595870414,4.686035613870665
2013,Germany,3808.1,78.3,25.90779415,0.92687146,62.33479116,1.185257901,47220.01021,5.842296895411203,5.553569491982069
2013,Sri Lanka,77.0,68.353616559854,30.7956807276274,7.9246041166418,54.515555670243,2.15404824269909,3610.0,9.375,7.729036108624299
2014,Germany,3965.8,74.5,26.01463233,0.915391753,62.27062445,1.149941997,48971.08247,4.141172763320289,3.7083267288857247
2014,Sri Lanka,82.5,68.5910423335315,30.5178954280569,8.08070792347262,54.6273859128379,2.41264701190051,3819.0,7.14285714285714,5.789473684210522
2015,Germany,3423.6,71.2,25.91528527,0.708829582,62.56088669,1.137338427,41911.01099,-13.671894699682285,-14.416817280534989
2015,Sri Lanka,85.1,73.512659162998,29.5354178734212,8.21693887941169,54.2106196156598,2.41701116575955,3844.0,3.1515151515151496,0.654621628698604
2016,Germany,3537.8,68.3,26.2157748,0.730325302,62.32010162,1.151230373,42961.03569,3.335670054912976,2.5053671462388127
2016,Sri Lanka,88.0,79.0,30.4827177299458,7.26171847777838,53.418163695813,1.97935533284589,3886.0,3.4077555816686367,1.0926118626430892
2017,Germany,3763.1,64.0,26.11757042,0.860523969,62.34102146,1.153403721,45526.59996,6.368364520323366,5.971839898164255
2017,Sri Lanka,94.4,72.2,31.1282786472283,7.4306787796126,52.239532866926,1.97692843257215,4077.0,7.272727272727275,4.9150797735460605
2018,Germany,4052.0,60.8,25.9385392,0.743078811,62.68882263,1.170548545,48874.8595,7.677181047540604,7.354512621065057
2018,Sri Lanka,94.5,78.4,30.0568199551031,7.59206651696938,53.6373221061605,1.73469354853576,4059.0,0.10593220338981357,-0.44150110375276164
2019,Germany,3957.2,58.7,25.63105395,0.833691667,62.90951885,1.262150257,47623.86561,-2.3395853899308983,-2.5595856495505553
2019,Sri Lanka,89.0,81.9,29.1910069413124,7.25624893779769,55.7458587541996,1.75219928060225,3848.0,-5.820105820105825,-5.198324710519831
2020,Germany,3940.1,68.0,25.37746187,0.728891878,63.72954122,1.373585715,47379.76519,-0.43212372384514586,-0.5125590224006271
2020,Sri Lanka,84.3,96.6,28.2358320400525,8.25132328798957,57.8323859500172,1.73988733298184,3694.0,-5.280898876404494,-4.0020790020790065
2021,Germany,4348.3,68.1,25.30665368,0.742181337,63.39163217,1.32678559,52265.65416,10.360143143575051,10.312184854456019
2021,Sri Lanka,88.6,100.0,29.9540061951905,8.78995174528451,55.8743762623229,1.89424834227119,3815.0,5.100830367734277,3.2755820249052547
2022,Germany,4163.6,65.0,25.68688746,1.003958167,63.41935076,1.39005501,49686.11546,-4.2476370075661745,-4.93543750950346
2022,Sri Lanka,74.1,114.2,29.8086869927168,8.4970914171668,57.0146556085073,1.43043206686897,3343.0,-16.365688487584652,-12.372214941022285
2023,Germany,4525.7,62.9,26.843115,0.841992092,63.69062608,1.5,54343.22651,8.696800845422214,9.373063293203554
2023,Sri Lanka,84.4,103.9,25.5926094504805,8.28101275498681,59.9258355078078,1.386,3828.0,13.90013495276654,14.507927011666165
